Название запроса в системе;Префильтрация;Группа в которой находится запрос;Удален;Инвалидный;PDQL запрос;тип
А_Группировка по ОС;none;А_Инвентаризация_Группировка;false;false;select(@Host, Host.@Name, Host.@Importance, Host.OsName, Host.@CreationTime, Host.@UpdateTime) | group(Host.OsName, COUNT(@Host));common
А_Группировка по СОФТУ;none;А_Инвентаризация_Группировка;false;false;"select(@Host, Host.OsName, Host.Softs.Name) | unique() | filter(Host.Softs.Name != null) | group(Host.Softs.Name, COUNT(@Host)) | sort(""COUNT(@Host)"" DESC)";common
А_Открытый %порт% %протокол%;filter(Host[Endpoints<TransportEndpoint>[Port = 22 and Status = 'Open' and Protocol = 'tcp']]) ;А_Инвентаризация_Без_Группировки;false;false;select(@Host, Host.OsName, Host.@CreationTime, Host.@UpdateTime) | sort(@Host ASC);common
А_Средства удаленного доступа;filter(Host.Softs.Name match 'Remote Management' or Host.Softs.Name match 'Remote Access' or Host.Softs.Name match 'Remote Desktop' or Host.Softs.Name match 'TeamViewer');А_Инвентаризация_Без_Группировки;false;false;select(@Host, Host.OsName, Host.@CreationTime, Host.@UpdateTime) | sort(@Host ASC);common
А_Нестандартные админы Windows;none;А_Инвентаризация_Группировка;false;false;"select(@WindowsHost as PC, WindowsHost.Groups.Name as GroupName, WindowsHost.Groups.Members.Name as UserName) | filter(GroupName in ['Администраторы', 'Administrators']) | filter(UserName not like ""Administrator"") | group(PC) | sort(PC ASC)";common
А_Группировка по BDU;none;А_Узвимости_Группировка;false;false;"select(@Host, Host.@Importance as Imprt, Host.@Vulners as Vulner, Host.@Vulners.Ids as Id, Host.@Vulners.SeverityRating as Severity, Host.@Vulners.DiscoveryTime as Discovered, Host.@Vulners.VulnerableEntity.Name as VulnerableEntity, Host.@Vulners.Description as Description, Host.@Vulners.HowToFix as Fix, Host.@Vulners.Metrics.Exploitable as HasExploit, Host.@Vulners.IsTrend as IsTrend, Host.@Vulners.Status, Host.@Vulners.CVSS2TemporalScore as CVSS2TmpScore, Host.@Vulners.CVSS2BaseScore as CVSS2BaseScore, Host.@Vulners.CVSS3TemporalScore as CVSS3TmpScore, Host.@Vulners.CVSS3BaseScore as CVSS3BaseScore, Host.@Vulners.CVSS2Vector as CVSS2Vector, Host.@Vulners.CVSS3Vector as CVSS3Vector, Host.@Vulners.StatusUpdateTime as UpdateTime, Host.@Vulners.DueTime as SolveBefore) | filter(Id like ""BDU%"") | sort(Imprt DESC, SolveBefore DESC) | group(Id, COUNT(*), MAX(CVSS2BaseScore), MAX(CVSS3BaseScore)) | sort(""MAX(CVSS3BaseScore)"" DESC, ""MAX(CVSS2BaseScore)"" DESC, ""COUNT(*)"" DESC)";common
А_Группировка по CVE;none;А_Узвимости_Группировка;false;false;"select(@Host, Host.@Importance as Imprt, Host.@Vulners as Vulner, Host.@Vulners.Ids as CVE_Id, Host.@Vulners.SeverityRating as Severity, Host.@Vulners.DiscoveryTime as Discovered, Host.@Vulners.VulnerableEntity.Name as VulnerableEntity, Host.@Vulners.Description as Description, Host.@Vulners.HowToFix as Fix, Host.@Vulners.Metrics.Exploitable as HasExploit, Host.@Vulners.IsTrend as IsTrend, Host.@Vulners.Status, Host.@Vulners.CVSS2TemporalScore as CVSS2TmpScore, Host.@Vulners.CVSS2BaseScore as CVSS2BaseScore, Host.@Vulners.CVSS3TemporalScore as CVSS3TmpScore, Host.@Vulners.CVSS3BaseScore as CVSS3BaseScore, Host.@Vulners.CVSS2Vector as CVSS2Vector, Host.@Vulners.CVSS3Vector as CVSS3Vector, Host.@Vulners.StatusUpdateTime as UpdateTime, Host.@Vulners.DueTime as SolveBefore) | filter(CVE_id like ""CVE%"") | sort(Imprt DESC, Severity DESC, SolveBefore DESC) | group(CVE_Id, COUNT(@Host), MAX(CVSS3TmpScore), MAX(CVSS2TmpScore)) | sort(""MAX(CVSS3TmpScore)"" DESC, ""MAX(CVSS2TmpScore)"" DESC, ""COUNT(@Host)"" DESC)";common
А_Группировка по софту %вендора %;none;А_Узвимости_Группировка;false;false;"select(@Host, Host.Softs.@Vulners, Host.Softs.@Vulners.CVEs, Host.Softs, Host.Softs.Vendor, Host.Softs.InstallPath) | filter(Host.Softs.@Vulners != null and Host.Softs.Vendor = ""Adobe Systems"") | group(Host.Softs, COUNT(*))";common
А_Группировка по группам;none;А_Узвимости_Группировка;false;false;"select(@Host, Host.@Groups.Name) | join(select(@Host, Host.@Vulners, Host.@Vulners.SeverityRating) | filter(Host.@Vulners != null and Host.@Vulners.SeverityRating != null) as Q, @Host = Q.@Host) | group(Host.@Groups.Name, Q.Host.@Vulners.SeverityRating, Q.@Host, COUNT(Q.Host.@Vulners), COMPACT(Q.Host.@Vulners)) | sort(Q.@Host ASC, Q.Host.@Vulners.SeverityRating DESC) | group(Host.@Groups.Name, SUM(""COUNT(Q.Host.@Vulners)"")) | sort(""SUM(COUNT(Q.Host.@Vulners))"" DESC)";common
А_Группировка по хостам;none;А_Узвимости_Группировка;false;false;select(@Host, Host.@Importance as Imprt, Host.@Vulners as Vulner, Host.@Vulners.CVEs as CVE_Id, Host.@Vulners.SeverityRating as Severity, Host.@Vulners.DiscoveryTime as Discovered, Host.@Vulners.VulnerableEntity.Name as VulnerableEntity, Host.@Vulners.Description as Description, Host.@Vulners.HowToFix as Fix, Host.@Vulners.Metrics.Exploitable as HasExploit, Host.@Vulners.IsTrend as IsTrend, Host.@Vulners.Status, Host.@Vulners.CVSS2TemporalScore as CVSS2TmpScore, Host.@Vulners.CVSS2BaseScore as CVSS2BaseScore, Host.@Vulners.CVSS3TemporalScore as CVSS3TmpScore, Host.@Vulners.CVSS3BaseScore as CVSS3BaseScore, Host.@Vulners.CVSS2Vector as CVSS2Vector, Host.@Vulners.CVSS3Vector as CVSS3Vector, Host.@Vulners.StatusUpdateTime as UpdateTime, Host.@Vulners.DueTime as SolveBefore) | sort(Severity ASC, SolveBefore ASC) | group(@Host, COUNT(*));common
А_Группировка по IP адресам;none;А_Узвимости_Группировка;false;false;select(@Host, Host.@VULNERS, Host.@VULNERS.CVES, Host.@VULNERS.NAME, Host.@Vulners.SeverityRating, Host.@Vulners.IsTrend, Host.@Vulners.VulnerableEntity.Name, Host.IpAddress, Host.@Vulners.Status) | filter(Host.@VULNERS.CVES != null and Host.@Vulners.Status = 'fixed') | group(Host.IpAddress as IP, Host.@Vulners.SeverityRating as Severity, COUNT(Host.IpAddress)) | sort(Severity ASC);common
